;Side;Type;Metric;Value
92;both;optimistic;z_geometric_mean_rank;-259.515817198828
93;head;realistic;z_geometric_mean_rank;-200.83792972235824
94;tail;realistic;z_geometric_mean_rank;-170.25462040489367
95;both;realistic;z_geometric_mean_rank;-259.518708075012
96;head;pessimistic;z_geometric_mean_rank;-200.83834362309665
97;tail;pessimistic;z_geometric_mean_rank;-170.25377072652054
98;both;pessimistic;z_geometric_mean_rank;-259.5158489130308
99;head;optimistic;z_arithmetic_mean_rank;-0.7000912790476832
100;tail;optimistic;z_arithmetic_mean_rank;-0.7354443737860947
101;both;optimistic;z_arithmetic_mean_rank;-1.0149548354177114
102;head;realistic;z_arithmetic_mean_rank;-0.7001482846035287
103;tail;realistic;z_arithmetic_mean_rank;-0.7353083232085282
104;both;realistic;z_arithmetic_mean_rank;-1.0148995541853765
105;head;pessimistic;z_arithmetic_mean_rank;-0.7001136531612246
106;tail;pessimistic;z_arithmetic_mean_rank;-0.7354663378264377
107;both;pessimistic;z_arithmetic_mean_rank;-1.0149861882111963
108;head;optimistic;adjusted_arithmetic_mean_rank;1.0005273714547545
109;tail;optimistic;adjusted_arithmetic_mean_rank;1.0005542171735466
110;both;optimistic;adjusted_arithmetic_mean_rank;1.0005407315890533
111;head;realistic;adjusted_arithmetic_mean_rank;1.0005274143964449
112;tail;realistic;adjusted_arithmetic_mean_rank;1.000554114648367
113;both;realistic;adjusted_arithmetic_mean_rank;1.0005407021371926
114;head;pessimistic;adjusted_arithmetic_mean_rank;1.0005273883089407
115;tail;pessimistic;adjusted_arithmetic_mean_rank;1.000554233725238
116;both;pessimistic;adjusted_arithmetic_mean_rank;1.000540748292699
117;head;optimistic;adjusted_inverse_harmonic_mean_rank;-9.454518346446763e-05
118;tail;optimistic;adjusted_inverse_harmonic_mean_rank;-9.226692464334377e-05
119;both;optimistic;adjusted_inverse_harmonic_mean_rank;-9.340605471701315e-05
120;head;realistic;adjusted_inverse_harmonic_mean_rank;-9.454517885576803e-05
121;tail;realistic;adjusted_inverse_harmonic_mean_rank;-9.226692582574037e-05
122;both;realistic;adjusted_inverse_harmonic_mean_rank;-9.340605949859121e-05
123;head;pessimistic;adjusted_inverse_harmonic_mean_rank;-9.454518458370784e-05
124;tail;pessimistic;adjusted_inverse_harmonic_mean_rank;-9.226692618542379e-05
125;both;pessimistic;adjusted_inverse_harmonic_mean_rank;-9.340605604767317e-05
126;head;optimistic;adjusted_geometric_mean_rank_index;-0.26192829378252336
127;tail;optimistic;adjusted_geometric_mean_rank_index;-0.22203313390763357
128;both;optimistic;adjusted_geometric_mean_rank_index;-0.24182105832180567
129;head;realistic;adjusted_geometric_mean_rank_index;-0.26192778324149524
130;tail;realistic;adjusted_geometric_mean_rank_index;-0.2220342718281343
131;both;realistic;adjusted_geometric_mean_rank_index;-0.24182375208724105
132;head;pessimistic;adjusted_geometric_mean_rank_index;-0.26192832304044167
133;tail;pessimistic;adjusted_geometric_mean_rank_index;-0.22203316373650983
134;both;pessimistic;adjusted_geometric_mean_rank_index;-0.24182108787361556
135;head;optimistic;geometric_mean_rank;45016.31899319386
136;tail;optimistic;geometric_mean_rank;43169.838708725736
137;both;optimistic;geometric_mean_rank;44083.41218867605
138;head;realistic;geometric_mean_rank;45016.30078125
139;tail;realistic;geometric_mean_rank;43169.87890625
140;both;realistic;geometric_mean_rank;44083.5078125
141;head;pessimistic;geometric_mean_rank;45016.32003687799
142;tail;pessimistic;geometric_mean_rank;43169.83976244344
143;both;pessimistic;geometric_mean_rank;44083.413237712106
144;head;optimistic;harmonic_mean_rank;33513.547215298946
145;tail;optimistic;harmonic_mean_rank;30047.307204251483
146;both;optimistic;harmonic_mean_rank;31685.91290593278
147;head;realistic;harmonic_mean_rank;33513.54203964643
148;tail;realistic;harmonic_mean_rank;30047.308271633243
149;both;realistic;harmonic_mean_rank;31685.91770602404
150;head;pessimistic;harmonic_mean_rank;33513.54847222609
151;tail;pessimistic;harmonic_mean_rank;30047.30859632933
152;both;pessimistic;harmonic_mean_rank;31685.914241744667
153;head;optimistic;inverse_median_rank;2.0607509376416766e-05
154;tail;optimistic;inverse_median_rank;2.0788292033926492e-05
155;both;optimistic;inverse_median_rank;2.0674826331458817e-05
156;head;realistic;inverse_median_rank;2.0607509213732556e-05
157;tail;realistic;inverse_median_rank;2.0788291294593364e-05
158;both;realistic;inverse_median_rank;2.067482637357898e-05
159;head;pessimistic;inverse_median_rank;2.0607509376416766e-05
160;tail;pessimistic;inverse_median_rank;2.0788292033926492e-05
161;both;pessimistic;inverse_median_rank;2.0674826331458817e-05
162;head;optimistic;count;587426.0
163;tail;optimistic;count;587426.0
164;both;optimistic;count;1174852.0
165;head;realistic;count;587426.0
166;tail;realistic;count;587426.0
167;both;realistic;count;1174852.0
168;head;pessimistic;count;587426.0
169;tail;pessimistic;count;587426.0
170;both;pessimistic;count;1174852.0
171;head;optimistic;hits_at_1;1.7023420822367412e-06
172;tail;optimistic;hits_at_1;0.0
173;both;optimistic;hits_at_1;8.511710411183706e-07
174;head;realistic;hits_at_1;1.7023420822367412e-06
175;tail;realistic;hits_at_1;0.0
176;both;realistic;hits_at_1;8.511710411183706e-07
177;head;pessimistic;hits_at_1;1.7023420822367412e-06
178;tail;pessimistic;hits_at_1;0.0
179;both;pessimistic;hits_at_1;8.511710411183706e-07
180;head;optimistic;hits_at_3;1.7023420822367412e-06
181;tail;optimistic;hits_at_3;0.0
182;both;optimistic;hits_at_3;8.511710411183706e-07
183;head;realistic;hits_at_3;1.7023420822367412e-06
184;tail;realistic;hits_at_3;0.0
185;both;realistic;hits_at_3;8.511710411183706e-07
186;head;pessimistic;hits_at_3;1.7023420822367412e-06
187;tail;pessimistic;hits_at_3;0.0
188;both;pessimistic;hits_at_3;8.511710411183706e-07
189;head;optimistic;hits_at_5;3.4046841644734825e-06
190;tail;optimistic;hits_at_5;1.7023420822367412e-06
191;both;optimistic;hits_at_5;2.553513123355112e-06
192;head;realistic;hits_at_5;3.4046841644734825e-06
193;tail;realistic;hits_at_5;1.7023420822367412e-06
194;both;realistic;hits_at_5;2.553513123355112e-06
195;head;pessimistic;hits_at_5;3.4046841644734825e-06
196;tail;pessimistic;hits_at_5;1.7023420822367412e-06
197;both;pessimistic;hits_at_5;2.553513123355112e-06
198;head;optimistic;hits_at_10;5.107026246710224e-06
199;tail;optimistic;hits_at_10;6.809368328946965e-06
200;both;optimistic;hits_at_10;5.958197287828595e-06
201;head;realistic;hits_at_10;5.107026246710224e-06
202;tail;realistic;hits_at_10;6.809368328946965e-06
203;both;realistic;hits_at_10;5.958197287828595e-06
204;head;pessimistic;hits_at_10;5.107026246710224e-06
205;tail;pessimistic;hits_at_10;6.809368328946965e-06
206;both;pessimistic;hits_at_10;5.958197287828595e-06
207;head;optimistic;z_hits_at_k;-7.398497251469794
208;tail;optimistic;z_hits_at_k;-7.312433340259398
209;both;optimistic;z_hits_at_k;-10.402009797466292
210;head;realistic;z_hits_at_k;-7.398497251469794
211;tail;realistic;z_hits_at_k;-7.312433340259398
212;both;realistic;z_hits_at_k;-10.402009797466292
213;head;pessimistic;z_hits_at_k;-7.398497251469794
214;tail;pessimistic;z_hits_at_k;-7.312433340259398
215;both;pessimistic;z_hits_at_k;-10.402009797466292
216;head;optimistic;adjusted_hits_at_k;-9.80370300978715e-05
217;tail;optimistic;adjusted_hits_at_k;-9.739209311969836e-05
218;both;optimistic;adjusted_hits_at_k;-9.771456177928667e-05
219;head;realistic;adjusted_hits_at_k;-9.80370300978715e-05
220;tail;realistic;adjusted_hits_at_k;-9.739209311969836e-05
221;both;realistic;adjusted_hits_at_k;-9.771456177928667e-05
222;head;pessimistic;adjusted_hits_at_k;-9.80370300978715e-05
223;tail;pessimistic;adjusted_hits_at_k;-9.739209311969836e-05
224;both;pessimistic;adjusted_hits_at_k;-9.771456177928667e-05
