;Side;Type;Metric;Value
95;both;realistic;inverse_harmonic_mean_rank;0.019022229768089937
96;head;pessimistic;inverse_harmonic_mean_rank;0.02471208922530087
97;tail;pessimistic;inverse_harmonic_mean_rank;0.013332359016050873
98;both;pessimistic;inverse_harmonic_mean_rank;0.019022224120675873
99;head;optimistic;z_inverse_harmonic_mean_rank;4577.406082066365
100;tail;optimistic;z_inverse_harmonic_mean_rank;2446.1689188951414
101;both;optimistic;z_inverse_harmonic_mean_rank;4962.5616714969665
102;head;realistic;z_inverse_harmonic_mean_rank;4577.404731031308
103;tail;realistic;z_inverse_harmonic_mean_rank;2446.1677319961263
104;both;realistic;z_inverse_harmonic_mean_rank;4962.560313777698
105;head;pessimistic;z_inverse_harmonic_mean_rank;4577.4032747739575
106;tail;pessimistic;z_inverse_harmonic_mean_rank;2446.1677046590034
107;both;pessimistic;z_inverse_harmonic_mean_rank;4962.5588307262
108;head;optimistic;adjusted_arithmetic_mean_rank_index;0.9353921561710277
109;tail;optimistic;adjusted_arithmetic_mean_rank_index;0.9386694876075615
110;both;optimistic;adjusted_arithmetic_mean_rank_index;0.9370231642365405
111;head;realistic;adjusted_arithmetic_mean_rank_index;0.9353921340413422
112;tail;realistic;adjusted_arithmetic_mean_rank_index;0.9386694595311296
113;both;realistic;adjusted_arithmetic_mean_rank_index;0.9370231492660481
114;head;pessimistic;adjusted_arithmetic_mean_rank_index;0.9353920913161858
115;tail;pessimistic;adjusted_arithmetic_mean_rank_index;0.9386694257235038
116;both;pessimistic;adjusted_arithmetic_mean_rank_index;0.9370231008601493
117;head;optimistic;arithmetic_mean_rank;3133.251124396945
118;tail;optimistic;arithmetic_mean_rank;2946.702508911761
119;both;optimistic;arithmetic_mean_rank;3039.976816654353
120;head;realistic;arithmetic_mean_rank;3133.252197265625
121;tail;realistic;arithmetic_mean_rank;2946.703857421875
122;both;realistic;arithmetic_mean_rank;3039.9775390625
123;head;pessimistic;arithmetic_mean_rank;3133.254268622771
124;tail;pessimistic;arithmetic_mean_rank;2946.7054812010365
125;both;pessimistic;arithmetic_mean_rank;3039.9798749119036
126;head;optimistic;median_rank;770.0
127;tail;optimistic;median_rank;1003.0
128;both;optimistic;median_rank;889.0
129;head;realistic;median_rank;770.0
130;tail;realistic;median_rank;1003.0
131;both;realistic;median_rank;889.0
132;head;pessimistic;median_rank;770.0
133;tail;pessimistic;median_rank;1003.0
134;both;pessimistic;median_rank;889.0
135;head;optimistic;standard_deviation;9070.322414162782
136;tail;optimistic;standard_deviation;7170.263895701937
137;both;optimistic;standard_deviation;8176.210406534319
138;head;realistic;standard_deviation;9070.3251953125
139;tail;realistic;standard_deviation;7170.26513671875
140;both;realistic;standard_deviation;8176.2119140625
