;Side;Type;Metric;Value
91;tail;optimistic;count;587426.0
92;both;optimistic;count;1174852.0
93;head;realistic;count;587426.0
94;tail;realistic;count;587426.0
95;both;realistic;count;1174852.0
96;head;pessimistic;count;587426.0
97;tail;pessimistic;count;587426.0
98;both;pessimistic;count;1174852.0
99;head;optimistic;variance;20494865.75377768
100;tail;optimistic;variance;18434440.2534411
101;both;optimistic;variance;19465238.36587784
102;head;realistic;variance;20494870.0
103;tail;realistic;variance;18434444.0
104;both;realistic;variance;19465240.0
105;head;pessimistic;variance;20494869.85103656
106;tail;pessimistic;variance;18434443.179729648
107;both;pessimistic;variance;19465241.875674583
108;head;optimistic;inverse_median_rank;0.001610305958132045
109;tail;optimistic;inverse_median_rank;0.001638001638001638
110;both;optimistic;inverse_median_rank;0.0016260162601626016
111;head;realistic;inverse_median_rank;0.0016103059751912951
112;tail;realistic;inverse_median_rank;0.0016380016459152102
113;both;realistic;inverse_median_rank;0.00162601622287184
114;head;pessimistic;inverse_median_rank;0.001610305958132045
115;tail;pessimistic;inverse_median_rank;0.001638001638001638
116;both;pessimistic;inverse_median_rank;0.0016260162601626016
117;head;optimistic;z_geometric_mean_rank;759.0681004198925
118;tail;optimistic;z_geometric_mean_rank;756.8266616260855
119;both;optimistic;z_geometric_mean_rank;1060.9711479697391
120;head;realistic;z_geometric_mean_rank;759.0680900464577
121;tail;realistic;z_geometric_mean_rank;756.8266366781503
122;both;realistic;z_geometric_mean_rank;1060.971134010758
123;head;pessimistic;z_geometric_mean_rank;759.0680716489611
124;tail;pessimistic;z_geometric_mean_rank;756.8266358259743
125;both;pessimistic;z_geometric_mean_rank;1060.9711091939425
126;head;optimistic;adjusted_inverse_harmonic_mean_rank;0.047448086025224954
127;tail;optimistic;adjusted_inverse_harmonic_mean_rank;0.02812193060650243
128;both;optimistic;adjusted_inverse_harmonic_mean_rank;0.03778501394091256
129;head;realistic;adjusted_inverse_harmonic_mean_rank;0.04744741392480151
130;tail;realistic;adjusted_inverse_harmonic_mean_rank;0.02812189407096237
131;both;realistic;adjusted_inverse_harmonic_mean_rank;0.03778464465888505
132;head;pessimistic;adjusted_inverse_harmonic_mean_rank;0.047447056703717704
133;tail;pessimistic;adjusted_inverse_harmonic_mean_rank;0.028121861661227644
134;both;pessimistic;adjusted_inverse_harmonic_mean_rank;0.037784464807242006
135;head;optimistic;harmonic_mean_rank;21.023173946883986
136;tail;optimistic;harmonic_mean_rank;35.40582951967832
137;both;optimistic;harmonic_mean_rank;26.381572134868073
138;head;realistic;harmonic_mean_rank;21.0234709649423
139;tail;realistic;harmonic_mean_rank;35.40587531394594
140;both;realistic;harmonic_mean_rank;26.381829120875313
141;head;pessimistic;harmonic_mean_rank;21.023628833327365
142;tail;pessimistic;harmonic_mean_rank;35.405915936958095
143;both;pessimistic;harmonic_mean_rank;26.381954282734558
144;head;optimistic;adjusted_arithmetic_mean_rank_index;0.9609781609479269
145;tail;optimistic;adjusted_arithmetic_mean_rank_index;0.9596042773050203
146;both;optimistic;adjusted_arithmetic_mean_rank_index;0.9602944292759703
147;head;realistic;adjusted_arithmetic_mean_rank_index;0.960978159881188
148;tail;realistic;adjusted_arithmetic_mean_rank_index;0.9596042578612289
149;both;realistic;adjusted_arithmetic_mean_rank_index;0.9602944266526477
150;head;pessimistic;adjusted_arithmetic_mean_rank_index;0.9609781356310124
151;tail;pessimistic;adjusted_arithmetic_mean_rank_index;0.9596042534516579
152;both;pessimistic;adjusted_arithmetic_mean_rank_index;0.9602944046874122
153;head;optimistic;geometric_mean_rank;358.9626521655432
154;tail;optimistic;geometric_mean_rank;459.85169490114265
155;both;optimistic;geometric_mean_rank;406.287563192051
156;head;realistic;geometric_mean_rank;358.963134765625
157;tail;realistic;geometric_mean_rank;459.85284423828125
158;both;realistic;geometric_mean_rank;406.28802490234375
159;head;pessimistic;geometric_mean_rank;358.96399066663207
160;tail;pessimistic;geometric_mean_rank;459.85288349754177
161;both;pessimistic;geometric_mean_rank;406.2888457487298
162;head;optimistic;z_arithmetic_mean_rank;1275.682532710715
163;tail;optimistic;z_arithmetic_mean_rank;1273.3652206122351
164;both;optimistic;z_arithmetic_mean_rank;1802.438209166345
165;head;realistic;z_arithmetic_mean_rank;1275.6825312946366
166;tail;realistic;z_arithmetic_mean_rank;1273.3651948109248
167;both;realistic;z_arithmetic_mean_rank;1802.4382042424625
168;head;pessimistic;z_arithmetic_mean_rank;1275.6824991029318
169;tail;pessimistic;z_arithmetic_mean_rank;1273.3651889595603
170;both;pessimistic;z_arithmetic_mean_rank;1802.438163014503
171;head;optimistic;hits_at_1;0.02063579072087378
172;tail;optimistic;hits_at_1;0.011095865692019079
173;both;optimistic;hits_at_1;0.015865828206446428
174;head;realistic;hits_at_1;0.02063408837879154
175;tail;realistic;hits_at_1;0.011095865692019079
176;both;realistic;hits_at_1;0.01586497703540531
177;head;pessimistic;hits_at_1;0.02063408837879154
178;tail;pessimistic;hits_at_1;0.011095865692019079
179;both;pessimistic;hits_at_1;0.01586497703540531
180;head;optimistic;hits_at_3;0.046337751478484096
181;tail;optimistic;hits_at_3;0.02522019794833732
182;both;optimistic;hits_at_3;0.03577897471341071
183;head;realistic;hits_at_3;0.04633604913640186
184;tail;realistic;hits_at_3;0.02522019794833732
185;both;realistic;hits_at_3;0.03577812354236959
186;head;pessimistic;hits_at_3;0.04633604913640186
187;tail;pessimistic;hits_at_3;0.02522019794833732
188;both;pessimistic;hits_at_3;0.03577812354236959
189;head;optimistic;hits_at_5;0.06456813283715736
190;tail;optimistic;hits_at_5;0.03521975533939594
191;both;optimistic;hits_at_5;0.04989394408827665
192;head;realistic;hits_at_5;0.06456813283715736
193;tail;realistic;hits_at_5;0.03521975533939594
194;both;realistic;hits_at_5;0.04989394408827665
195;head;pessimistic;hits_at_5;0.06456813283715736
