;Side;Type;Metric;Value
92;both;optimistic;adjusted_arithmetic_mean_rank;0.044408519716056936
93;head;realistic;adjusted_arithmetic_mean_rank;0.03893432050789871
94;tail;realistic;adjusted_arithmetic_mean_rank;0.049934169682672724
95;both;realistic;adjusted_arithmetic_mean_rank;0.04440854265211667
96;head;pessimistic;adjusted_arithmetic_mean_rank;0.03893432995975494
97;tail;pessimistic;adjusted_arithmetic_mean_rank;0.04993418431217454
98;both;pessimistic;adjusted_arithmetic_mean_rank;0.044408555945505836
99;head;optimistic;z_arithmetic_mean_rank;1275.8250582376522
100;tail;optimistic;z_arithmetic_mean_rank;1260.7342781878906
101;both;optimistic;z_arithmetic_mean_rank;1793.6481116182638
102;head;realistic;z_arithmetic_mean_rank;1275.8250275750863
103;tail;realistic;z_arithmetic_mean_rank;1260.734244595895
104;both;realistic;z_arithmetic_mean_rank;1793.64806856721
105;head;pessimistic;z_arithmetic_mean_rank;1275.8250150276456
106;tail;pessimistic;z_arithmetic_mean_rank;1260.734225182594
107;both;pessimistic;z_arithmetic_mean_rank;1793.6480436154782
108;head;optimistic;z_geometric_mean_rank;759.3697054953403
109;tail;optimistic;z_geometric_mean_rank;757.9607633339542
110;both;optimistic;z_geometric_mean_rank;1061.9182636346043
111;head;realistic;z_geometric_mean_rank;759.3697000371734
112;tail;realistic;z_geometric_mean_rank;757.9607632875594
113;both;realistic;z_geometric_mean_rank;1061.9182651249691
114;head;pessimistic;z_geometric_mean_rank;759.3696968200153
115;tail;pessimistic;z_geometric_mean_rank;757.9607529963075
116;both;pessimistic;z_geometric_mean_rank;1061.9182503796933
117;head;optimistic;adjusted_inverse_harmonic_mean_rank;0.02948697033901599
118;tail;optimistic;adjusted_inverse_harmonic_mean_rank;0.029829075973993344
119;both;optimistic;adjusted_inverse_harmonic_mean_rank;0.02965802305693177
120;head;realistic;adjusted_inverse_harmonic_mean_rank;0.029486960727166542
121;tail;realistic;adjusted_inverse_harmonic_mean_rank;0.029829072058589055
122;both;realistic;adjusted_inverse_harmonic_mean_rank;0.029658014630652055
123;head;pessimistic;adjusted_inverse_harmonic_mean_rank;0.029486951495975244
124;tail;pessimistic;adjusted_inverse_harmonic_mean_rank;0.029829062520239043
125;both;pessimistic;adjusted_inverse_harmonic_mean_rank;0.0296580069085327
126;head;optimistic;adjusted_geometric_mean_rank_index;0.9903584715577065
127;tail;optimistic;adjusted_geometric_mean_rank_index;0.9884897552715601
128;both;optimistic;adjusted_geometric_mean_rank_index;0.9894653655562087
129;head;realistic;adjusted_geometric_mean_rank_index;0.9903584644392478
130;tail;realistic;adjusted_geometric_mean_rank_index;0.9884897552110546
131;both;realistic;adjusted_geometric_mean_rank_index;0.9894653669448884
132;head;pessimistic;adjusted_geometric_mean_rank_index;0.9903584602434788
133;tail;pessimistic;adjusted_geometric_mean_rank_index;0.9884897417897832
134;both;pessimistic;adjusted_geometric_mean_rank_index;0.9894653532056579
135;head;optimistic;harmonic_mean_rank;33.77502613993782
136;tail;optimistic;harmonic_mean_rank;33.38801450996901
137;both;optimistic;harmonic_mean_rank;33.580405292040375
138;head;realistic;harmonic_mean_rank;33.77503710331791
139;tail;realistic;harmonic_mean_rank;33.388018874155826
140;both;realistic;harmonic_mean_rank;33.580414792696324
141;head;pessimistic;harmonic_mean_rank;33.77504763252187
142;tail;pessimistic;harmonic_mean_rank;33.38802950579358
143;both;pessimistic;harmonic_mean_rank;33.58042349941405
144;head;optimistic;variance;28977737.803094834
145;tail;optimistic;variance;37939219.19352006
146;both;optimistic;variance;33523700.9434184
147;head;realistic;variance;28977750.0
148;tail;realistic;variance;37939240.0
149;both;realistic;variance;33523718.0
150;head;pessimistic;variance;28977765.043168847
151;tail;pessimistic;variance;37939249.04652021
152;both;pessimistic;variance;33523729.57690668
153;head;optimistic;inverse_median_rank;0.00228310502283105
154;tail;optimistic;inverse_median_rank;0.0019011406844106464
155;both;optimistic;inverse_median_rank;0.0020876826722338203
156;head;realistic;inverse_median_rank;0.0022831049282103777
157;tail;realistic;inverse_median_rank;0.0019011406693607569
158;both;realistic;inverse_median_rank;0.002087682718411088
159;head;pessimistic;inverse_median_rank;0.00228310502283105
160;tail;pessimistic;inverse_median_rank;0.0019011406844106464
161;both;pessimistic;inverse_median_rank;0.0020876826722338203
162;head;optimistic;count;587426.0
163;tail;optimistic;count;587426.0
164;both;optimistic;count;1174852.0
165;head;realistic;count;587426.0
166;tail;realistic;count;587426.0
167;both;realistic;count;1174852.0
168;head;pessimistic;count;587426.0
169;tail;pessimistic;count;587426.0
170;both;pessimistic;count;1174852.0
171;head;optimistic;hits_at_1;0.0007217930428683783
172;tail;optimistic;hits_at_1;0.0007439234899374559
173;both;optimistic;hits_at_1;0.0007328582664029172
174;head;realistic;hits_at_1;0.0007217930428683783
175;tail;realistic;hits_at_1;0.0007439234899374559
176;both;realistic;hits_at_1;0.0007328582664029172
177;head;pessimistic;hits_at_1;0.0007217930428683783
178;tail;pessimistic;hits_at_1;0.0007439234899374559
179;both;pessimistic;hits_at_1;0.0007328582664029172
180;head;optimistic;hits_at_3;0.03387150041026444
181;tail;optimistic;hits_at_3;0.0351295312090374
182;both;optimistic;hits_at_3;0.03450051580965092
183;head;realistic;hits_at_3;0.03387150041026444
184;tail;realistic;hits_at_3;0.0351295312090374
185;both;realistic;hits_at_3;0.03450051580965092
186;head;pessimistic;hits_at_3;0.03387150041026444
187;tail;pessimistic;hits_at_3;0.0351295312090374
188;both;pessimistic;hits_at_3;0.03450051580965092
189;head;optimistic;hits_at_5;0.04862059221076357
190;tail;optimistic;hits_at_5;0.05033314834549373
191;both;optimistic;hits_at_5;0.04947687027812865
192;head;realistic;hits_at_5;0.04862059221076357
193;tail;realistic;hits_at_5;0.05033314834549373
194;both;realistic;hits_at_5;0.04947687027812865
195;head;pessimistic;hits_at_5;0.04862059221076357
196;tail;pessimistic;hits_at_5;0.05033314834549373
197;both;pessimistic;hits_at_5;0.04947687027812865
198;head;optimistic;hits_at_10;0.07386802763241668
199;tail;optimistic;hits_at_10;0.07608277468140667
200;both;optimistic;hits_at_10;0.07497540115691168
201;head;realistic;hits_at_10;0.07386802763241668
202;tail;realistic;hits_at_10;0.07608277468140667
203;both;realistic;hits_at_10;0.07497540115691168
204;head;pessimistic;hits_at_10;0.07386802763241668
205;tail;pessimistic;hits_at_10;0.07608277468140667
206;both;pessimistic;hits_at_10;0.07497540115691168
207;head;optimistic;z_hits_at_k;5567.341786506859
208;tail;optimistic;z_hits_at_k;5705.249798749887
209;both;optimistic;z_hits_at_k;7971.148681144987
210;head;realistic;z_hits_at_k;5567.341786506859
211;tail;realistic;z_hits_at_k;5705.249798749887
212;both;realistic;z_hits_at_k;7971.148681144987
213;head;pessimistic;z_hits_at_k;5567.341786506859
214;tail;pessimistic;z_hits_at_k;5705.249798749887
215;both;pessimistic;z_hits_at_k;7971.148681144987
216;head;optimistic;adjusted_hits_at_k;0.07377250213622505
217;tail;optimistic;adjusted_hits_at_k;0.07598650050070453
218;both;optimistic;adjusted_hits_at_k;0.07487950073315103
219;head;realistic;adjusted_hits_at_k;0.07377250213622505
220;tail;realistic;adjusted_hits_at_k;0.07598650050070453
221;both;realistic;adjusted_hits_at_k;0.07487950073315103
222;head;pessimistic;adjusted_hits_at_k;0.07377250213622505
223;tail;pessimistic;adjusted_hits_at_k;0.07598650050070453
224;both;pessimistic;adjusted_hits_at_k;0.07487950073315103
