C403507
C503223
D002442
D012973
D025762
C042734
D014673
D011729
C068538
C524644
D001507
D024841
C121677
C102790
C099041
C007845
C081247
C446479
C049947
C116664
D013831
C119092
C486592
C105417
C019248
D003900
C418863
D002331
D010406
C059500
D013450
D005707
D011453
D016630
D015068
C012078
C466458
C067431
D005839
D039841
C010211
C525726
D013999
C060076
C071741
C008976
C060836
C072506
D005227
C500617
C516253
C079150
C114049
C545476
C114767
D013256
D018942
C048833
D014494
D000928
C090450
C552956
C076944
C080245
C040029
D054714
D015065
D064704
D013324
C081489
C043877
C060590
D045162
C503700
D010118
C064276
C052904
D002395
C047426
C072042
C052753
D008094
D047090
C496398
D036145
C003297
C507898
D008751
C121905
D011883
C047781
D028421
D002511
C500838
C102006
D011097
D004164
D013311
D000728
D001645
C076029
C035605
C048107
D015525
D043823
C478920
C557874
D008750
C044650
C094645
C467567
C049109
C037663
D001120
D003520
C555877
C011481
C500007
C080710
C063129
C415250
D006633
C078049
C088658
C069541
D000631
C095105
C061333
D000967
C540383
D002241
D002087
C103303
C076731
D017762
C523979
C422923
C584679
C038044
C099245
C078814
C063378
C007028
C086232
D020682
D024502
D012964
D005231
C083418
C011585
C045645
C061400
C039952
D017985
C008514
C441209
C046326
C060342
C041359
D015378
D001084
C061870
C052342
C047047
D025101
C515051
C045345
D017984
D006728
C074921
C039332
D020110
D002434
D002116
C096918
C584938
C063008
D011372
C039726
D019270
C006947
C059205
D010401
D001463
D012643
D006897
C105934
C065382
C540445
C088482
D010878
D007208
C012052
C520647
C551994
C400082
C040210
D004967
D017706
D003061
C487779
C017717
D009566
C047246
C473731
C059765
D016898
D009705
D012459
C088408
C031903
D013866
C029100
C013592
C001205
D007726
C008848
D004318
D008535
C039276
C098350
C107135
D013749
C110904
C002791
D015850
C098720
D020911
C107058
D004872
D052203
D011090
D014222
C051890
D002216
C031942
C071226
D017290
D004177
C040791
D024508
D007659
D018021
D006024
D015777
C055774
D010423
D015662
C015620
D002266
C059262
D008063
D023303
C006952
D001663
C035133
C551803
C041398
C036539
C040996
D018350
C042382
C108976
D013928
D007785
C534526
C554682
C023470
D044945
C568794
D019980
C488369
C548887
D019343
C058687
C574201
C014758
C413685
D011456
D007529
D018698
C102786
C104450
D000085
D003367
C022192
C044919
D016698
D002186
D000588
C427248
C005435
C073590
C017953
D002133
C065179
C513486
C022830
D055768
D001647
D015363
D059808
C104727
C009687
D010281
C058816
C005499
C036006
D008453
D015097
D014748
C434926
D014810
D014308
C014347
C116306
C061077
D003487
C012255
C009166
D002244
C025490
C553296
C005855
D016559
C036613
C513626
D010232
D008628
D013993
C114264
D004295
C408982
C507879
C002939
D000617
C027767
D001127
C007734
C001652
D001151
C522924
C085278
C097613
C496932
C069594
D006415
C440975
C030110
D013670
D004966
C093415
C439759
D000596
C529054
D014280
C055122
C031404
C008169
C037573
D011084
C015392
D008734
C011825
D012977
C010882
D019344
C026455
C055328
D014373
C034635
C484810
D013976
C036901
C010285
C542869
C094279
D000806
C075156
D001128
C011462
C522381
C007761
C016361
C067311
D017329
C032942
C476513
D018943
D014238
C118667
C005705
C028577
C047360
C055987
D013004
C045463
C429886
C055632
C049328
