chebi_id	db_id
4450	DB00035
59728	DB00035
31387	DB00050
59224	DB00050
4031	DB00091
60564	DB00093
18405	DB00114
597326	DB00114
29306	DB00115
15635	DB00116
20506	DB00116
57453	DB00116
68437	DB00116
15971	DB00117
27570	DB00117
27947	DB00117
32510	DB00117
32512	DB00117
32513	DB00117
32523	DB00117
32526	DB00117
32527	DB00117
32529	DB00117
32531	DB00117
32532	DB00117
57595	DB00117
15414	DB00118
33440	DB00118
33442	DB00118
59789	DB00118
67040	DB00118
15361	DB00119
32816	DB00119
16998	DB00120
17295	DB00120
28044	DB00120
32486	DB00120
32487	DB00120
32494	DB00120
32495	DB00120
32504	DB00120
32505	DB00120
57981	DB00120
58095	DB00120
76052	DB00120
15956	DB00121
57586	DB00121
15354	DB00122
72322	DB00122
16855	DB00123
18019	DB00123
25094	DB00123
32550	DB00123
32551	DB00123
32552	DB00123
32556	DB00123
32557	DB00123
32558	DB00123
32563	DB00123
32564	DB00123
32565	DB00123
15816	DB00125
16467	DB00125
29016	DB00125
32681	DB00125
32682	DB00125
32683	DB00125
32688	DB00125
32689	DB00125
32690	DB00125
32695	DB00125
32696	DB00125
32697	DB00125
29073	DB00126
38290	DB00126
51384	DB00126
51438	DB00126
51440	DB00126
15746	DB00127
45725	DB00127
17053	DB00128
17364	DB00128
22660	DB00128
29990	DB00128
29991	DB00128
29993	DB00128
29994	DB00128
29995	DB00128
35391	DB00128
15729	DB00129
16176	DB00129
18257	DB00129
32964	DB00129
44667	DB00129
46911	DB00129
46912	DB00129
46913	DB00129
46914	DB00129
57668	DB00129
17061	DB00130
18050	DB00130
28300	DB00130
32665	DB00130
32666	DB00130
32672	DB00130
32673	DB00130
32678	DB00130
32679	DB00130
58000	DB00130
58359	DB00130
16027	DB00131
40721	DB00131
456215	DB00131
27432	DB00132
32387	DB00132
16523	DB00133
17115	DB00133
17822	DB00133
32836	DB00133
32837	DB00133
32840	DB00133
32841	DB00133
32845	DB00133
32846	DB00133
33384	DB00133
35243	DB00133
35247	DB00133
16643	DB00134
16811	DB00134
16867	DB00134
32631	DB00134
32632	DB00134
32637	DB00134
32638	DB00134
32644	DB00134
32646	DB00134
57844	DB00134
57932	DB00134
64558	DB00134
17895	DB00135
18186	DB00135
28479	DB00135
32760	DB00135
32761	DB00135
32762	DB00135
32773	DB00135
32774	DB00135
32775	DB00135
32784	DB00135
32785	DB00135
32786	DB00135
58315	DB00135
58570	DB00135
17823	DB00136
28838	DB00137
16283	DB00138
17376	DB00138
35491	DB00138
35492	DB00138
35494	DB00138
63163	DB00138
15741	DB00139
30031	DB00139
30779	DB00139
17015	DB00140
57986	DB00140
17122	DB00141
17411	DB00141
14321	DB00142
15966	DB00142
16015	DB00142
18237	DB00142
29985	DB00142
29986	DB00142
29987	DB00142
29988	DB00142
29989	DB00142
76051	DB00142
16856	DB00143
57925	DB00143
15428	DB00145
32507	DB00145
32508	DB00145
57305	DB00145
17933	DB00146
17310	DB00147
16919	DB00148
57947	DB00148
66924	DB00148
15603	DB00149
25017	DB00149
28225	DB00149
32619	DB00149
32620	DB00149
32623	DB00149
32624	DB00149
32627	DB00149
32628	DB00149
57427	DB00149
16296	DB00150
16828	DB00150
27897	DB00150
32702	DB00150
32704	DB00150
32716	DB00150
32717	DB00150
32727	DB00150
32728	DB00150
57719	DB00150
57912	DB00150
64554	DB00150
15356	DB00151
16375	DB00151
17561	DB00151
32442	DB00151
32443	DB00151
32445	DB00151
32449	DB00151
32450	DB00151
32451	DB00151
32456	DB00151
32457	DB00151
32458	DB00151
35235	DB00151
35236	DB00151
35237	DB00151
18385	DB00152
49107	DB00152
28934	DB00153
53486	DB00154
71589	DB00154
16349	DB00155
18211	DB00155
49007	DB00155
57743	DB00155
66922	DB00155
16398	DB00156
16857	DB00156
28718	DB00156
32820	DB00156
32822	DB00156
32826	DB00156
32827	DB00156
32828	DB00156
38263	DB00156
57757	DB00156
57926	DB00156
58585	DB00156
58645	DB00156
16908	DB00157
57945	DB00157
77176	DB00157
77311	DB00157
27470	DB00158
62501	DB00158
28364	DB00159
58562	DB00159
15570	DB00160
16449	DB00160
16977	DB00160
32431	DB00160
32432	DB00160
32435	DB00160
32436	DB00160
32439	DB00160
32440	DB00160
57416	DB00160
57972	DB00160
66916	DB00160
76050	DB00160
16414	DB00161
27266	DB00161
27477	DB00161
32851	DB00161
32852	DB00161
32855	DB00161
32856	DB00161
32859	DB00161
32860	DB00161
57762	DB00161
74338	DB00161
16302	DB00162
17336	DB00162
45479	DB00162
50211	DB00162
78272	DB00162
18145	DB00163
46430	DB00163
16709	DB00165
16494	DB00166
30313	DB00166
30314	DB00166
43796	DB00166
83088	DB00166
17191	DB00167
20899	DB00167
27730	DB00167
32604	DB00167
32605	DB00167
32608	DB00167
32609	DB00167
38264	DB00167
43433	DB00167
58045	DB00167
2877	DB00168
28940	DB00169
28869	DB00170
15422	DB00171
30616	DB00171
30617	DB00171
50732	DB00171
57299	DB00171
16313	DB00172
17203	DB00172
26271	DB00172
32862	DB00172
32864	DB00172
32867	DB00172
32868	DB00172
32871	DB00172
32872	DB00172
57726	DB00172
60039	DB00172
16708	DB00173
17196	DB00174
22653	DB00174
28159	DB00174
32650	DB00174
32651	DB00174
32656	DB00174
32657	DB00174
32660	DB00174
32661	DB00174
58048	DB00174
74337	DB00174
63618	DB00175
63660	DB00175
8361	DB00175
5138	DB00176
9927	DB00177
8774	DB00178
73468	DB00179
7625	DB00179
5106	DB00180
2972	DB00181
2679	DB00182
42724	DB00182
4469	DB00182
17688	DB00184
18723	DB00184
39162	DB00184
59806	DB00184
79008	DB00184
3568	DB00185
4856	DB00187
4857	DB00187
60074	DB00187
60075	DB00187
52717	DB00188
4882	DB00189
15377	DB00190
16234	DB00190
29374	DB00190
29375	DB00190
29412	DB00190
33806	DB00190
33811	DB00190
33813	DB00190
3395	DB00190
39585	DB00190
41981	DB00190
50506	DB00191
50508	DB00191
8080	DB00191
75722	DB00193
75725	DB00193
75731	DB00193
75733	DB00193
75734	DB00193
75737	DB00193
75738	DB00193
16335	DB00194
45327	DB00194
46515	DB00194
3082	DB00195
59251	DB00195
59254	DB00195
59255	DB00195
59256	DB00195
643228	DB00195
46081	DB00196
9753	DB00197
7798	DB00198
7799	DB00198
42355	DB00199
64268	DB00199
15377	DB00200
15852	DB00200
16234	DB00200
27786	DB00200
29374	DB00200
29375	DB00200
29412	DB00200
33806	DB00200
33811	DB00200
33813	DB00200
41981	DB00200
49415	DB00200
27732	DB00201
45652	DB00202
61219	DB00202
61225	DB00202
58987	DB00203
9139	DB00203
4681	DB00204
8673	DB00205
28487	DB00206
2955	DB00207
34546	DB00207
9588	DB00208
9589	DB00208
31174	DB00210
31847	DB00211
6933	DB00211
73243	DB00211
7915	DB00213
9637	DB00214
36791	DB00215
36792	DB00215
77397	DB00215
77405	DB00215
77406	DB00215
77408	DB00215
77422	DB00215
77423	DB00215
50922	DB00216
61176	DB00216
61177	DB00216
31279	DB00217
37937	DB00217
63611	DB00218
63699	DB00218
7008	DB00218
7496	DB00220
7497	DB00220
78767	DB00220
5383	DB00222
34764	DB00223
59750	DB00223
44032	DB00224
15377	DB00225
16234	DB00225
29374	DB00225
29375	DB00225
29412	DB00225
31642	DB00225
33806	DB00225
33811	DB00225
33813	DB00225
37333	DB00225
41981	DB00225
49618	DB00225
5555	DB00226
5556	DB00226
72602	DB00226
40303	DB00227
4792	DB00228
31374	DB00229
355510	DB00229
64356	DB00230
27565	DB00233
34850	DB00235
50693	DB00235
3228	DB00237
63613	DB00238
77698	DB00239
7825	DB00239
7826	DB00239
53776	DB00240
102524	DB00241
567361	DB00242
20551	DB00244
6775	DB00244
3048	DB00245
3049	DB00245
10119	DB00246
32314	DB00246
53757	DB00246
584020	DB00247
3286	DB00248
147675	DB00249
4325	DB00250
82979	DB00251
82980	DB00251
82981	DB00251
8107	DB00252
34730	DB00254
50845	DB00254
60648	DB00254
652992	DB00254
41922	DB00255
59040	DB00256
3764	DB00257
15366	DB00258
29108	DB00258
30089	DB00258
3310	DB00258
45373	DB00259
23503	DB00260
40009	DB00260
74159	DB00260
75592	DB00260
75929	DB00260
142290	DB00261
55345	DB00261
3423	DB00262
102484	DB00263
6904	DB00264
31439	DB00265
4513	DB00266
31370	DB00267
55490	DB00267
55509	DB00267
8888	DB00268
3641	DB00269
31812	DB00271
53691	DB00271
53692	DB00271
59731	DB00271
59733	DB00271
31280	DB00272
59170	DB00272
63631	DB00273
3489	DB00274
3490	DB00274
52439	DB00274
48416	DB00275
2687	DB00276
28177	DB00277
18258	DB00279
533015	DB00279
60308	DB00279
6484	DB00279
4657	DB00280
6456	DB00281
3738	DB00283
3739	DB00283
2376	DB00284
9943	DB00285
9944	DB00285
17474	DB00286
29101	DB00286
60050	DB00286
8389	DB00286
